启动Winsocket Sat Oct 29 13:10:49 2022
创建套接字 Sat Oct 29 13:10:49 2022
发送读请求成功send20bytes Sat Oct 29 13:10:51 2022
接收数据成功receive516bytes 数据包序号:1 Sat Oct 29 13:10:51 2022
发送ACK包成功send4bytes ACK包序号:1 Sat Oct 29 13:10:51 2022
接收数据成功receive516bytes 数据包序号:2 Sat Oct 29 13:10:51 2022
发送ACK包成功send4bytes ACK包序号:2 Sat Oct 29 13:10:51 2022
接收数据成功receive516bytes 数据包序号:3 Sat Oct 29 13:10:51 2022
发送ACK包成功send4bytes ACK包序号:3 Sat Oct 29 13:10:51 2022
接收数据成功receive516bytes 数据包序号:4 Sat Oct 29 13:10:51 2022
发送ACK包成功send4bytes ACK包序号:4 Sat Oct 29 13:10:51 2022
接收数据成功receive516bytes 数据包序号:5 Sat Oct 29 13:10:51 2022
发送ACK包成功send4bytes ACK包序号:5 Sat Oct 29 13:10:51 2022
接收数据成功receive516bytes 数据包序号:6 Sat Oct 29 13:10:51 2022
发送ACK包成功send4bytes ACK包序号:6 Sat Oct 29 13:10:51 2022
接收数据成功receive516bytes 数据包序号:7 Sat Oct 29 13:10:51 2022
发送ACK包成功send4bytes ACK包序号:7 Sat Oct 29 13:10:51 2022
接收数据成功receive516bytes 数据包序号:8 Sat Oct 29 13:10:51 2022
发送ACK包成功send4bytes ACK包序号:8 Sat Oct 29 13:10:51 2022
接收数据成功receive516bytes 数据包序号:9 Sat Oct 29 13:10:51 2022
发送ACK包成功send4bytes ACK包序号:9 Sat Oct 29 13:10:51 2022
接收数据成功receive516bytes 数据包序号:10 Sat Oct 29 13:10:51 2022
发送ACK包成功send4bytes ACK包序号:10 Sat Oct 29 13:10:51 2022
接收数据成功receive516bytes 数据包序号:11 Sat Oct 29 13:10:51 2022
发送ACK包成功send4bytes ACK包序号:11 Sat Oct 29 13:10:51 2022
接收数据成功receive492bytes 数据包序号:12 Sat Oct 29 13:10:51 2022
发送ACK包成功send4bytes ACK包序号:12 Sat Oct 29 13:10:51 2022
